rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect2m_rbd;nalu_mate2m_rbd;prom_lect2m_rbd;prom_mate2m_rbd;dif_lect2m_rbd;dif_mate2m_rbd;difgru_lect2m_rbd;difgru_mate2m_rbd;sigdif_lect2m_rbd;sigdif_mate2m_rbd;siggru_lect2m_rbd;siggru_mate2m_rbd;marca_lect2m_rbd;marca_mate2m_rbd;marcadif_lect2m_rbd;marcadif_mate2m_rbd;palu_eda_ins_lect2m_rbd;palu_eda_ele_lect2m_rbd;palu_eda_ade_lect2m_rbd;palu_eda_ins_mate2m_rbd;palu_eda_ele_mate2m_rbd;palu_eda_ade_mate2m_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
40310;5;COLEGIO PUCARA;6;DEL LIBERTADOR BERNARDO O;61;CACHAPOAL;6106;GRANEROS;61;Cachapoal;3;2;3;1;53;52;269;277;-5;10;13;10;0;0;1;1;;;;;26.4;39.6;34;38.5;36.5;25;0;v12025;20260427;2m;2025
7406;3;COLEGIO SAN MATEO;10;DE LOS LAGOS;103;OSORNO;10301;OSORNO;103;Osorno;4;3;5;1;106;100;296;340;7;2;8;11;0;0;1;1;;;;;8.5;39.6;51.9;8;27;65;0;v12025;20260427;2m;2025
7701;1;COLEGIO ARRIARAN BARROS;10;DE LOS LAGOS;101;LLANQUIHUE;10101;PUERTO MONTT;101;Llanquihue;3;2;4;1;62;65;250;250;-17;-1;-20;-39;-1;0;-1;-1;;;;;45.2;33.9;21;55.4;30.8;13.8;0;v12025;20260427;2m;2025
1750;7;COL. INMACULADA DE LOURDES;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;3;2;4;1;29;29;253;259;-22;-6;-17;-30;-1;0;-1;-1;;;;;41.4;34.5;24.1;44.8;48.3;6.9;0;v12025;20260427;2m;2025
24718;9;COLEGIO HUELQUEN MONTESSORI;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13115;LO BARNECHEA;133;Oriente;4;3;5;1;12;11;273;310;24;41;-15;-19;1;1;-1;-1;;;;;33.3;41.7;25;18.2;18.2;63.6;0;v12025;20260427;2m;2025
15564;0;COLEGIO LA CRUZ;6;DEL LIBERTADOR BERNARDO O;61;CACHAPOAL;6108;MACHALÍ;61;Cachapoal;4;3;5;1;38;40;294;368;15;10;6;39;1;0;0;1;;;;;10.5;42.1;47.4;0;15;85;0;v12025;20260427;2m;2025
18066;1;COLEGIO AURORA DE CHILE SUR;8;DEL BIOBÍO;81;CONCEPCIÓN;8103;CHIGUAYANTE;83;Concepcion;3;2;2;1;108;111;248;260;4;-6;8;13;0;0;1;1;;;;;50.9;24.1;25;51.4;28.8;19.8;0;v12025;20260427;2m;2025
3871;7;LICEO BICENTENARIO POLITÉCNICO JOSÉ MA;16;DE ÑUBLE;161;DIGUILLÍN;16106;PINTO;161;Diguillín;6;4;1;1;88;87;228;250;-10;9;0;17;0;0;0;1;;;;;64.8;25;10.2;54;31;14.9;0;v12025;20260427;2m;2025
1641;1;COLEGIO SAN PEDRO NOLASCO;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;4;3;5;1;32;30;281;328;-10;18;-7;-1;0;1;0;0;;;;;18.8;50;31.3;0;50;50;0;v12025;20260427;2m;2025
1395;1;COLEGIO SAN PEDRO NOLASCO DE QUILLOTA;5;DE VALPARAÍSO;55;QUILLOTA;5501;QUILLOTA;51;Quillota - Petorca;3;2;2;1;63;68;270;263;21;9;30;16;1;0;1;1;;;;;34.9;31.7;33.3;36.8;50;13.2;0;v12025;20260427;2m;2025
12610;1;LICEO INSTITUTO COMERCIAL DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;6;4;2;1;71;74;220;213;-18;-20;-20;-34;-1;-1;-1;-1;;;;;71.8;22.5;5.6;86.5;12.2;1.4;0;v12025;20260427;2m;2025
13606;9;COLEGIO LEONARDO DA VINCI - VICUÑA;4;DE COQUIMBO;41;ELQUI;4106;VICUÑA;41;Elqui;3;2;2;1;70;72;245;253;-1;-3;5;6;0;0;0;0;;;;;54.3;34.3;11.4;45.8;38.9;15.3;0;v12025;20260427;2m;2025
15610;8;COLEGIO PARTIC, SAN JOSE DE LA MONTANA;6;DEL LIBERTADOR BERNARDO O;63;COLCHAGUA;6303;CHIMBARONGO;62;Colchagua;3;2;3;1;63;60;286;305;11;31;30;38;0;1;1;1;;;;;19;36.5;44.4;23.3;28.3;48.3;0;v12025;20260427;2m;2025
13503;8;COLEGIO VALENTIN LETELIER;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;3;2;3;1;50;51;277;271;20;9;21;4;1;0;1;0;;;;;28;36;36;43.1;39.2;17.6;0;v12025;20260427;2m;2025
768;4;COLEGIO LA PROVIDENCIA;4;DE COQUIMBO;43;LIMARÍ;4301;OVALLE;42;Limari;3;2;1;1;163;146;243;256;4;4;15;23;0;0;1;1;;;;;53.4;31.3;15.3;44.5;41.8;13.7;0;v12025;20260427;2m;2025
1604;7;COLEGIO LEONARDO MURIALDO;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;3;2;3;1;74;75;232;238;-7;2;-24;-29;0;0;-1;-1;;;;;60.8;29.7;9.5;58.7;33.3;8;0;v12025;20260427;2m;2025
26238;2;COLEGIO DEL VERBO DIVINO DE CHICUREO;13;METROPOLITANA DE SANTIAGO;133;CHACABUCO;13301;COLINA;137;Norte;4;3;5;1;69;67;290;344;-9;3;2;15;0;0;0;1;;;;;21.7;29;49.3;11.9;22.4;65.7;0;v12025;20260427;2m;2025
8926;5;LICEO Nº7 DE PROVIDENCIA LUISA SAAVEDR;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13123;PROVIDENCIA;133;Oriente;1;1;4;1;99;123;253;274;-12;9;-17;-15;-1;0;-1;-1;;;;;39.4;34.3;26.3;35.8;39;25.2;0;v12025;20260427;2m;2025
18080;7;LICEO POLITECNICO CARAMPANGUE;8;DEL BIOBÍO;82;ARAUCO;8202;ARAUCO;84;Arauco;2;1;1;1;71;67;235;244;23;19;7;11;1;1;1;1;;;;;57.7;26.8;15.5;56.7;37.3;6;0;v12025;20260427;2m;2025
8488;3;LICEO N° 4 BICENTENARIO ISAURA DINATOR;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13101;SANTIAGO;131;Centro;2;1;2;1;29;31;240;230;-25;-12;0;-17;-1;0;0;-1;;;;;62.1;20.7;17.2;67.7;29;3.2;0;v12025;20260427;2m;2025
127;9;LICEO MARIA AUXILIADORA;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;11;Iquique;3;2;4;1;68;68;278;261;4;-6;8;-28;0;0;1;-1;;;;;27.9;23.5;48.5;47.1;33.8;19.1;0;v12025;20260427;2m;2025
