"rbd";"agno";"id_indicador";"prom";"dif";"mdif";"sigdif";"difgru";"mdifgru";"sigdifgru";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"codigo_bbdd";"fecha_bbdd";"grado"
5;2025;1;68;2;;0;-5;;-1;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
5;2025;2;71;2;;0;-4;;-1;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
5;2025;3;69;-3;;0;-7;;-1;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
5;2025;4;64;1;;0;-6;;-1;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
8;2025;1;73;-17;;-1;0;;0;COLEGIO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
8;2025;2;74;;/;;-1;;0;COLEGIO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
8;2025;3;74;-19;;-1;-2;;0;COLEGIO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
8;2025;4;71;-15;;-1;1;;0;COLEGIO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
9;2025;1;74;-9;;-1;2;;0;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;8b
9;2025;2;75;-8;;-1;2;;0;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;8b
9;2025;3;78;-6;;-1;3;;0;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;8b
9;2025;4;74;-5;;-1;6;;1;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;8b
10;2025;1;72;-8;;-1;-2;;0;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;8b
10;2025;2;70;-15;;-1;-5;;-1;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;8b
10;2025;3;73;-13;;-1;-5;;-1;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;8b
10;2025;4;70;-4;;-1;-2;;0;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;8b
11;2025;1;73;-1;;0;-1;;0;ESC. GRAL. PEDRO LAGOS MARCHANT;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;8b
11;2025;2;73;3;;0;-2;;0;ESC. GRAL. PEDRO LAGOS MARCHANT;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;8b
11;2025;3;80;5;;1;2;;0;ESC. GRAL. PEDRO LAGOS MARCHANT;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;8b
11;2025;4;74;9;;1;2;;0;ESC. GRAL. PEDRO LAGOS MARCHANT;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;8b
12;2025;1;69;-8;;-1;-4;;0;ESCUELA GRAL JOSE MIGUEL CARRERA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
12;2025;2;69;-12;;-1;-6;;-1;ESCUELA GRAL JOSE MIGUEL CARRERA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
12;2025;3;74;-11;;-1;-2;;0;ESCUELA GRAL JOSE MIGUEL CARRERA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
12;2025;4;68;-4;;0;-2;;0;ESCUELA GRAL JOSE MIGUEL CARRERA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;8b
