"rbd";"agno";"id_indicador";"prom";"dif";"mdif";"sigdif";"difgru";"mdifgru";"sigdifgru";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"codigo_bbdd";"fecha_bbdd";"grado"
13;2025;3;85;-3;;0;6;;1;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
13;2025;4;72;-4;;0;1;;0;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
14;2025;1;77;-2;;0;1;;0;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
14;2025;2;;;/;;;¬;;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
14;2025;3;81;0;;0;1;;0;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
14;2025;4;70;2;;0;-1;;0;ESCUELA ROMULO J. PENA MATURANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
15;2025;1;76;3;;0;4;;0;LICEO BICENTENARIO ARTISTICO DR. JUAN N;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
15;2025;2;71;-3;;0;-3;;0;LICEO BICENTENARIO ARTISTICO DR. JUAN N;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
15;2025;3;81;2;;0;5;;1;LICEO BICENTENARIO ARTISTICO DR. JUAN N;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
15;2025;4;73;7;;1;3;;0;LICEO BICENTENARIO ARTISTICO DR. JUAN N;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
16;2025;1;76;5;;1;0;;0;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
16;2025;2;80;4;;1;4;;1;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
16;2025;3;83;0;;0;4;;0;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
16;2025;4;72;0;;0;1;;0;ESCUELA REGIMIENTO RANCAGUA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
17;2025;1;86;4;;1;10;;1;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
