"rbd";"agno";"id_indicador";"prom";"dif";"mdif";"sigdif";"difgru";"mdifgru";"sigdifgru";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"codigo_bbdd";"fecha_bbdd";"grado"
25;2025;4;73;;/;;2;;0;COLEGIO CENTENARIO DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;2m
32;2025;1;82;9;;1;8;;1;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;2m
32;2025;2;82;6;;1;7;;1;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;2m
32;2025;3;85;6;;1;8;;1;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;2m
32;2025;4;81;9;;1;9;;1;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;2m
45;2025;1;79;-2;;0;6;;1;COLEGIO ITALIANO SANTA ANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;2m
45;2025;2;82;-2;;0;7;;1;COLEGIO ITALIANO SANTA ANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;2m
45;2025;3;82;-3;;0;6;;1;COLEGIO ITALIANO SANTA ANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;2m
45;2025;4;76;2;;0;7;;1;COLEGIO ITALIANO SANTA ANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;2m
50;2025;1;73;2;;0;0;;0;COLEGIO ADVENTISTA DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;2m
50;2025;2;79;5;;1;4;;1;COLEGIO ADVENTISTA DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;2m
50;2025;3;80;3;;0;4;;1;COLEGIO ADVENTISTA DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;2m
50;2025;4;77;0;;0;8;;1;COLEGIO ADVENTISTA DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;2m
52;2025;1;73;1;;0;-1;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;2;1;v12025;20260423;2m
52;2025;2;76;3;;0;1;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;2;1;v12025;20260423;2m
52;2025;3;77;3;;0;1;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;2;1;v12025;20260423;2m
52;2025;4;75;1;;0;4;;0;LICEO BICENTENARIO DOMINGO SANTA MARIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;2;1;v12025;20260423;2m
56;2025;1;68;-3;;0;-5;;-1;COLEGIO SAN MARCOS DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
56;2025;2;71;-5;;-1;-3;;0;COLEGIO SAN MARCOS DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
56;2025;3;74;-5;;-1;-2;;0;COLEGIO SAN MARCOS DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
56;2025;4;69;-2;;0;2;;0;COLEGIO SAN MARCOS DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
59;2025;1;75;-2;;0;0;;0;COLEGIO SAN JORGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;2m
59;2025;2;80;5;;1;2;;0;COLEGIO SAN JORGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;2m
59;2025;3;82;5;;1;3;;0;COLEGIO SAN JORGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;2m
59;2025;4;75;4;;1;7;;1;COLEGIO SAN JORGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;2m
60;2025;1;70;-5;;-1;-3;;0;COLEGIO ALEMAN DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
60;2025;2;74;-1;;0;0;;0;COLEGIO ALEMAN DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
60;2025;3;75;-3;;0;-1;;0;COLEGIO ALEMAN DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
60;2025;4;68;-6;;-1;1;;0;COLEGIO ALEMAN DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
67;2025;1;65;-8;;-1;-8;;-1;ABRAHAM LINCOLN SCHOOL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
67;2025;2;69;-6;;-1;-5;;-1;ABRAHAM LINCOLN SCHOOL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
67;2025;3;67;-9;;-1;-9;;-1;ABRAHAM LINCOLN SCHOOL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
67;2025;4;57;-15;;-1;-10;;-1;ABRAHAM LINCOLN SCHOOL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;4;1;v12025;20260423;2m
69;2025;1;78;2;;0;3;;0;JUNIOR COLLEGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;2m
69;2025;2;79;3;;0;1;;0;JUNIOR COLLEGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;2m
69;2025;3;80;4;;1;1;;0;JUNIOR COLLEGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;2m
69;2025;4;70;3;;0;2;;0;JUNIOR COLLEGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;3;5;1;v12025;20260423;2m
72;2025;1;81;2;;0;8;;1;LICEO VALLE DE CODPA;15;DE ARICA Y PARINACOTA;151;ARICA;15102;CAMARONES;Arica;4;4;2;v12025;20260423;2m
72;2025;2;75;-3;;0;1;;0;LICEO VALLE DE CODPA;15;DE ARICA Y PARINACOTA;151;ARICA;15102;CAMARONES;Arica;4;4;2;v12025;20260423;2m
72;2025;3;84;-2;;0;8;;1;LICEO VALLE DE CODPA;15;DE ARICA Y PARINACOTA;151;ARICA;15102;CAMARONES;Arica;4;4;2;v12025;20260423;2m
72;2025;4;77;-1;;0;10;;1;LICEO VALLE DE CODPA;15;DE ARICA Y PARINACOTA;151;ARICA;15102;CAMARONES;Arica;4;4;2;v12025;20260423;2m
78;2025;1;67;-11;;-1;-7;;-1;LICEO GRANADEROS;15;DE ARICA Y PARINACOTA;152;PARINACOTA;15201;PUTRE;Parinacota;4;1;2;v12025;20260423;2m
78;2025;2;66;;/;;-9;;-1;LICEO GRANADEROS;15;DE ARICA Y PARINACOTA;152;PARINACOTA;15201;PUTRE;Parinacota;4;1;2;v12025;20260423;2m
78;2025;3;70;-11;;-1;-7;;-1;LICEO GRANADEROS;15;DE ARICA Y PARINACOTA;152;PARINACOTA;15201;PUTRE;Parinacota;4;1;2;v12025;20260423;2m
78;2025;4;73;-4;;0;1;;0;LICEO GRANADEROS;15;DE ARICA Y PARINACOTA;152;PARINACOTA;15201;PUTRE;Parinacota;4;1;2;v12025;20260423;2m
97;2025;1;71;3;;0;-3;;0;INST. COM. DE IQUIQUE BALDOMERO WOLNIT;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
97;2025;2;70;5;;1;-5;;-1;INST. COM. DE IQUIQUE BALDOMERO WOLNIT;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;Iquique;4;2;1;v12025;20260423;2m
