rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect8b_rbd;nalu_mate8b_rbd;nalu_hist8b_rbd;prom_lect8b_rbd;prom_mate8b_rbd;prom_hist8b_rbd;dif_lect8b_rbd;dif_mate8b_rbd;dif_hist8b_rbd;difgru_lect8b_rbd;difgru_mate8b_rbd;difgru_hist8b_rbd;sigdif_lect8b_rbd;sigdif_mate8b_rbd;sigdif_hist8b_rbd;siggru_lect8b_rbd;siggru_mate8b_rbd;siggru_hist8b_rbd;marca_lect8b_rbd;marca_mate8b_rbd;marca_hist8b_rbd;marcadif_lect8b_rbd;marcadif_mate8b_rbd;marcadif_hist8b_rbd;palu_eda_ins_lect8b_rbd;palu_eda_ele_lect8b_rbd;palu_eda_ade_lect8b_rbd;palu_eda_ins_mate8b_rbd;palu_eda_ele_mate8b_rbd;palu_eda_ade_mate8b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
5634;0;ESCUELA NIRRIMAPU;9;DE LA ARAUCANÍA;91;CAUTÍN;9112;PADRE LAS CASAS;93;Cautin Sur;2;1;1;2;18;19;18;239;237;249;0;-4;10;21;3;18;0;0;0;1;0;1;;;;;;;44.4;33.3;22.2;63.2;31.6;5.3;0;v12025;20260427;8b;2025
4798;8;SAGRADOS CORAZONES;8;DEL BIOBÍO;81;CONCEPCIÓN;8112;HUALPÉN;83;Concepcion;4;3;5;1;99;103;99;275;298;284;8;-9;0;1;-7;-5;0;0;0;0;-1;-1;;;;;;;13.1;42.4;44.4;12.6;44.7;42.7;0;v12025;20260427;8b;2025
17782;2;LICEO RIOS DE CHILE;8;DEL BIOBÍO;81;CONCEPCIÓN;8107;PENCO;83;Concepcion;2;1;2;1;22;25;22;228;231;240;22;23;18;3;-11;4;1;1;0;0;-1;0;;;;;;;59.1;18.2;22.7;56;44;0;0;v12025;20260427;8b;2025
3470;3;ESCUELA TRINIDAD ALCAINO TAPIA;7;DEL MAULE;74;LINARES;7407;VILLA ALEGRE;73;Linares;2;1;1;2;18;17;18;219;239;226;30;39;20;1;5;-5;1;1;0;0;0;0;;;;;;;66.7;16.7;16.7;47.1;47.1;5.9;0;v12025;20260427;8b;2025
7354;7;ESCUELA RURAL LUZ Y SABER;10;DE LOS LAGOS;103;OSORNO;10301;OSORNO;103;Osorno;2;1;2;2;12;11;12;229;266;234;-6;27;-2;4;24;-2;0;1;0;0;1;0;;;;;;;50;33.3;16.7;36.4;45.5;18.2;0;v12025;20260427;8b;2025
7108;0;ESCUELA PART. PADRE ENRIQUE ROMER;14;DE LOS RÍOS;141;VALDIVIA;14108;PANGUIPULLI;141;Valdivia;3;2;2;2;12;13;12;249;278;253;-20;-15;-21;24;36;17;-1;0;0;1;1;1;;;;;;;25;50;25;7.7;61.5;30.8;0;v12025;20260427;8b;2025
6272;3;ESCUELA BASICA LICARAYEN;9;DE LA ARAUCANÍA;91;CAUTÍN;9107;GORBEA;93;Cautin Sur;2;1;2;1;15;15;15;211;249;227;-7;17;-12;-14;7;-9;0;0;0;-1;0;0;;;;;;;53.3;33.3;13.3;46.7;53.3;0;0;v12025;20260427;8b;2025
16600;6;COLEGIO ALTA CUMBRE;7;DEL MAULE;73;CURICÓ;7301;CURICÓ;71;Curico;3;2;3;1;77;78;77;274;301;294;4;10;15;37;45;46;0;0;1;1;1;1;;;;;;;10.4;51.9;37.7;7.7;43.6;48.7;0;v12025;20260427;8b;2025
16846;7;COLEGIO MIS IDEAS;7;DEL MAULE;73;CURICÓ;7304;MOLINA;71;Curico;3;2;4;1;26;27;26;247;263;246;;;;-3;-10;-16;;;;0;-1;-1;;;;1;1;1;30.8;50;19.2;33.3;55.6;11.1;0;v12025;20260427;8b;2025
25316;2;COLEGIO PUELMAPU;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13122;PEÑALOLÉN;133;Oriente;3;2;2;1;28;28;28;218;250;229;9;2;-10;-7;8;-7;0;0;0;0;0;0;;;;;;;60.7;32.1;7.1;42.9;42.9;14.3;0;v12025;20260427;8b;2025
12083;9;COLEGIO LO ERRAZURIZ;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13119;MAIPÚ;134;Poniente;3;2;3;1;31;31;31;245;269;269;29;-2;21;8;13;21;1;0;1;1;1;1;;;;;;;35.5;41.9;22.6;32.3;41.9;25.8;0;v12025;20260427;8b;2025
1340;4;ESCUELA HERMINIA ORTEGA DE CROXATO;5;DE VALPARAÍSO;57;SAN FELIPE;5703;LLAILLAY;52;San Felipe - Los Andes;2;1;2;1;21;23;21;219;235;238;-14;-37;-6;-6;-7;2;0;-1;0;0;0;0;;;;;;;57.1;33.3;9.5;69.6;30.4;0;0;v12025;20260427;8b;2025
10351;9;ESCUELA PARTICULAR PARQUE ASUNCION;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13104;CONCHALÍ;137;Norte;3;2;3;1;62;62;62;237;262;238;-13;15;-14;0;6;-10;-1;1;-1;0;1;-1;;;;;;;40.3;45.2;14.5;40.3;37.1;22.6;0;v12025;20260427;8b;2025
9853;1;COLEGIO POLIV. SAINT TRINITY COLLEGE;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13116;LO ESPEJO;132;Sur;3;2;2;1;34;35;34;199;208;229;4;-14;13;-26;-34;-7;0;0;0;-1;-1;0;;;;;;;76.5;23.5;0;82.9;17.1;0;0;v12025;20260427;8b;2025
24675;1;COLEGIO SAN MANUEL;13;METROPOLITANA DE SANTIAGO;135;MELIPILLA;13501;MELIPILLA;135;Talagante;3;2;4;1;33;34;33;247;260;272;-8;-7;11;-3;-13;10;0;0;0;0;-1;1;;;;;;;30.3;45.5;24.2;32.4;52.9;14.7;0;v12025;20260427;8b;2025
