rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
7826;3;COLEGIO SAN MIGUEL;10;DE LOS LAGOS;101;LLANQUIHUE;10102;CALBUCO;101;Llanquihue;3;2;3;1;66;65;281;263;3;-11;5;3;0;-1;1;0;;;;;27.3;16.7;56.1;30.8;46.2;23.1;0;v12025;20260427;4b;2025
11407;3;ESCUELA BASICA LOS OLIVOS;16;DE ÑUBLE;162;ITATA;16206;RÁNQUIL;161;Diguillín;2;1;1;2;3;3;274;221;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
10743;3;INSTITUTO SAN FRANCISCO;13;METROPOLITANA DE SANTIAGO;136;TALAGANTE;13602;EL MONTE;135;Talagante;3;2;2;1;26;25;256;220;12;-7;-11;-32;0;0;-1;-1;;;;;34.6;38.5;26.9;68;28;4;0;v12025;20260427;4b;2025
2917;3;ESCUELA RAUCO;7;DEL MAULE;73;CURICÓ;7305;RAUCO;71;Curico;2;1;2;1;18;17;263;243;15;9;-4;-9;0;0;0;-1;;;;;50;16.7;33.3;52.9;29.4;17.6;0;v12025;20260427;4b;2025
14324;3;COLEGIO WILLIAM JAMES;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;4;3;5;1;5;6;283;246;;0;;-46;;0;;-1;;;2;;;;;;;;0;v12025;20260427;4b;2025
8513;8;ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13101;SANTIAGO;131;Centro;2;1;3;1;59;61;263;234;2;-4;-13;-26;0;0;-1;-1;;;;;35.6;25.4;39;60.7;32.8;6.6;0;v12025;20260427;4b;2025
687;4;ESCUELA DE HUANTA;4;DE COQUIMBO;41;ELQUI;4106;VICUÑA;41;Elqui;6;4;1;2;1;1;;;;;;;;;;;1;1;1;1;;;;;;;0;v12025;20260427;4b;2025
7185;4;ESCUELA PARTICULAR LOS AVELLANOS;14;DE LOS RÍOS;142;DEL RANCO;14201;LA UNIÓN;142;Ranco;3;2;;2;0;0;;;;;;;;;;;;;;;;;;;;;1;v12025;20260427;4b;2025
26372;2;COLEGIO SAN LUCAS DE LO ESPEJO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13116;LO ESPEJO;132;Sur;3;2;2;1;59;58;257;264;-20;-2;-10;12;-1;0;-1;1;;;;;37.3;35.6;27.1;29.3;48.3;22.4;0;v12025;20260427;4b;2025
6521;8;ESCUELA BASICA CAMARONES;9;DE LA ARAUCANÍA;91;CAUTÍN;9102;CARAHUE;92;Cautin Norte;6;4;1;2;1;1;;;;;;;;;;;1;1;1;1;;;;;;;0;v12025;20260427;4b;2025
2894;0;ESCUELA AMELIA VIAL DE CONCHA;7;DEL MAULE;73;CURICÓ;7302;HUALAÑÉ;71;Curico;2;1;3;2;17;17;320;283;44;16;44;23;1;0;1;1;;;;;0;11.8;88.2;11.8;41.2;47.1;0;v12025;20260427;4b;2025
31327;0;COLEGIO ALICANTE DEL VALLE;13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13201;PUENTE ALTO;136;Cordillera;3;2;4;1;193;194;297;300;-4;-2;13;30;0;0;1;1;;;;;14;21.8;64.2;7.7;32;60.3;0;v12025;20260427;4b;2025
879;6;ESCUELA BASICA BENJAMIN VICUNA MACKENNA;4;DE COQUIMBO;43;LIMARÍ;4302;COMBARBALÁ;42;Limari;2;1;3;2;1;1;;;;;;;;;;;1;1;1;1;;;;;;;0;v12025;20260427;4b;2025
12781;7;AMAZING GRACE ENGLISH SCHOOL;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;4;3;5;1;54;55;301;281;-5;-5;-1;-11;0;0;0;-1;;;;;9.3;25.9;64.8;12.7;50.9;36.4;0;v12025;20260427;4b;2025
710;2;ESCUELA BASICA JOSE TOMAS OVALLE B.;4;DE COQUIMBO;43;LIMARÍ;4301;OVALLE;42;Limari;2;1;1;1;27;28;276;262;24;13;17;19;1;0;1;1;;;;;25.9;22.2;51.9;28.6;57.1;14.3;0;v12025;20260427;4b;2025
17859;4;COLEGIO ALMONDALE;8;DEL BIOBÍO;81;CONCEPCIÓN;8108;SAN PEDRO DE LA PAZ;83;Concepcion;3;2;5;1;100;100;300;300;-9;5;-2;8;0;0;0;1;;;;;13;21;66;9;30;61;0;v12025;20260427;4b;2025
6452;1;LICEO REINO DE SUECIA;9;DE LA ARAUCANÍA;91;CAUTÍN;9116;SAAVEDRA;92;Cautin Norte;6;4;2;1;16;16;263;219;-6;-41;-4;-33;0;-1;0;-1;;;;;37.5;18.8;43.8;62.5;37.5;0;0;v12025;20260427;4b;2025
17690;7;COLEGIO BEATO DAMIÁN DE MOLOKAI;8;DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;82;Bio Bio;3;2;3;1;38;39;275;260;2;2;-1;0;0;0;0;0;;;;;26.3;15.8;57.9;33.3;43.6;23.1;0;v12025;20260427;4b;2025
1543;1;ESCUELA JORGE ALESSANDRI RODRIGUEZ;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;6;4;2;1;17;15;261;254;-25;-4;-6;2;-1;0;0;0;;;;;47.1;5.9;47.1;33.3;53.3;13.3;0;v12025;20260427;4b;2025
2207;1;ESCUELA HERNAN OLGUIN MAYBE;6;DEL LIBERTADOR BERNARDO O;61;CACHAPOAL;6106;GRANEROS;61;Cachapoal;2;1;2;1;42;43;241;234;-38;-27;-26;-18;-1;-1;-1;-1;;;;;47.6;23.8;28.6;55.8;34.9;9.3;0;v12025;20260427;4b;2025
192;9;ESCUELA BASICA MAMINA;1;DE TARAPACÁ;14;TAMARUGAL;1401;POZO ALMONTE;14;Tamarugal;1;1;3;2;2;2;239;221;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
69;8;JUNIOR COLLEGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;4;3;5;1;50;50;306;312;5;33;4;20;0;1;0;1;;;;;10;14;76;6;24;70;0;v12025;20260427;4b;2025
733;1;ESCUELA SANTA CRISTINA;4;DE COQUIMBO;43;LIMARÍ;4301;OVALLE;42;Limari;2;1;1;2;5;5;259;246;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
6475;0;ESCUELA PARTICULAR LLAGUEY;9;DE LA ARAUCANÍA;91;CAUTÍN;9116;SAAVEDRA;92;Cautin Norte;3;2;1;2;2;2;293;286;;;;;;;;;;;1;1;;;;;;;0;v12025;20260427;4b;2025
5147;0;ESCUELA BASICA TRES SAUCES;8;DEL BIOBÍO;82;ARAUCO;8203;CAÑETE;84;Arauco;2;1;1;2;5;5;288;260;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
1397;8;ESCUELA PARTICULAR INDUSTRIAL E. BERTEL;5;DE VALPARAÍSO;55;QUILLOTA;5501;QUILLOTA;51;Quillota - Petorca;3;2;3;1;90;89;278;278;-1;-5;2;18;0;0;0;1;;;;;23.3;23.3;53.3;23.6;39.3;37.1;0;v12025;20260427;4b;2025
12094;4;COLEGIO SAN ESTEBAN DIÁCONO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13132;VITACURA;133;Oriente;4;3;5;1;42;44;307;306;-4;-10;5;14;0;0;0;1;;;;;9.5;21.4;69;9.1;27.3;63.6;0;v12025;20260427;4b;2025
10766;2;ESCUELA DOLORES CATTIN FAUNDEZ;13;METROPOLITANA DE SANTIAGO;136;TALAGANTE;13605;PEÑAFLOR;135;Talagante;2;1;2;2;6;5;287;279;;;20;;;;1;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
11430;8;COLEGIO TERESIANO PADRE ENRIQUE;8;DEL BIOBÍO;83;BIOBÍO;8306;NACIMIENTO;82;Bio Bio;3;2;4;1;76;75;292;281;3;4;8;11;0;0;1;1;;;;;23.7;19.7;56.6;17.3;44;38.7;0;v12025;20260427;4b;2025
16508;5;COLEGIO HISPANOCHILENO EL PILAR;7;DEL MAULE;73;CURICÓ;7301;CURICÓ;71;Curico;3;2;4;1;59;60;282;281;-12;-18;-2;11;-1;-1;0;1;;;;;22;23.7;54.2;18.3;45;36.7;0;v12025;20260427;4b;2025
13491;0;COLEGIO ALTAZOR;4;DE COQUIMBO;41;ELQUI;4102;COQUIMBO;41;Elqui;3;2;3;1;69;68;255;238;4;-4;-21;-22;0;0;-1;-1;;;;;39.1;27.5;33.3;54.4;33.8;11.8;0;v12025;20260427;4b;2025
24311;6;COLEGIO FRANCES;12;DE MAGALLANES Y DE LA ANT;121;MAGALLANES;12101;PUNTA ARENAS;121;Magallanes;3;2;3;1;22;22;274;251;14;-12;-2;-9;0;0;0;-1;;;;;36.4;4.5;59.1;45.5;36.4;18.2;0;v12025;20260427;4b;2025
25639;0;ESCUELA BASICA Y ESPECIAL N° 1905 JACAR;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13128;RENCA;134;Poniente;3;2;2;1;31;30;256;254;-18;-11;-11;2;-1;0;-1;0;;;;;41.9;38.7;19.4;46.7;26.7;26.7;0;v12025;20260427;4b;2025
11576;2;ESCUELA PARTICULAR N.290 LOS RADALES;10;DE LOS LAGOS;101;LLANQUIHUE;10105;FRUTILLAR;101;Llanquihue;3;2;3;2;1;1;;;;;;;;;;;1;1;2;2;;;;;;;0;v12025;20260427;4b;2025
2084;2;COLEGIO CARLOS ALESSANDRI ALTAMIRANO;5;DE VALPARAÍSO;56;SAN ANTONI;5602;ALGARROBO;54;San Antonio;2;1;3;1;62;67;270;253;-9;-7;-6;-7;0;0;-1;-1;;;;;35.5;21;43.5;44.8;38.8;16.4;0;v12025;20260427;4b;2025
5001;6;ESCUELA ARTURO HUGHES CERNA;8;DEL BIOBÍO;81;CONCEPCIÓN;8102;CORONEL;83;Concepcion;6;4;2;1;50;52;262;248;-1;11;-5;-4;0;0;0;0;;;;;32;28;40;51.9;30.8;17.3;0;v12025;20260427;4b;2025
14819;9;COLEGIO CERVANTINO;5;DE VALPARAÍSO;57;SAN FELIPE;5705;PUTAENDO;52;San Felipe - Los Andes;3;2;3;1;23;23;281;259;14;-2;5;-1;0;0;0;0;;;;;26.1;21.7;52.2;34.8;52.2;13;0;v12025;20260427;4b;2025
4414;8;ESCUELA BASICA MUNILQUE IZAURIETA;8;DEL BIOBÍO;83;BIOBÍO;8305;MULCHÉN;82;Bio Bio;2;1;1;2;1;1;;;;;;;;;;;1;1;2;1;;;;;;;0;v12025;20260427;4b;2025
3086;4;ESCUELA LOS MONTES;7;DEL MAULE;71;TALCA;7109;SAN CLEMENTE;72;Talca;2;1;1;2;14;15;281;250;28;8;22;7;1;0;1;0;;;;;21.4;14.3;64.3;66.7;13.3;20;0;v12025;20260427;4b;2025
25562;9;ESC BASICA PART SAN JOSE DE LA FAMILIA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13112;LA PINTANA;136;Cordillera;3;2;2;1;97;104;279;274;-8;-23;12;22;0;-1;1;1;;;;;23.7;30.9;45.4;21.2;51;27.9;0;v12025;20260427;4b;2025
16485;2;COLEGIO GARDEN COLLEGE;7;DEL MAULE;72;CAUQUENES;7201;CAUQUENES;74;Cauquenes;3;2;3;1;50;50;292;284;10;-10;16;24;0;0;1;1;;;;;8;30;62;20;44;36;0;v12025;20260427;4b;2025
2748;0;ESCUELA REPUBLICA ARGENTINA;7;DEL MAULE;73;CURICÓ;7301;CURICÓ;71;Curico;2;1;1;1;13;18;234;233;-2;-3;-25;-10;0;0;-1;-1;;;;;69.2;15.4;15.4;66.7;27.8;5.6;0;v12025;20260427;4b;2025
26249;8;ESCUELA BASICA MIRAFLORES DE LAMPA;13;METROPOLITANA DE SANTIAGO;133;CHACABUCO;13302;LAMPA;137;Norte;3;2;3;1;22;22;248;244;1;16;-28;-16;0;1;-1;-1;;;;;59.1;13.6;27.3;63.6;22.7;13.6;0;v12025;20260427;4b;2025
5765;7;ESCUELA PARTICULAR KIMELTU DE PANCO;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;3;2;1;2;4;4;270;233;;;;;;;;;;;1;1;;;;;;;0;v12025;20260427;4b;2025
5101;2;ESCUELA SAN JOSE DE COLICO;8;DEL BIOBÍO;82;ARAUCO;8205;CURANILAHUE;84;Arauco;2;1;2;2;9;9;285;285;5;29;18;33;0;1;1;1;;;;;;;;;;;0;v12025;20260427;4b;2025
4437;7;ESCUELA BASICA AURORA DE ENERO;8;DEL BIOBÍO;83;BIOBÍO;8305;MULCHÉN;82;Bio Bio;2;1;1;2;3;3;299;285;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
3435;5;ESCUELA MANUEL MONTT;7;DEL MAULE;74;LINARES;7405;RETIRO;73;Linares;2;1;2;1;47;49;271;257;-4;-10;4;5;0;0;0;1;;;;;27.7;34;38.3;36.7;44.9;18.4;0;v12025;20260427;4b;2025
2771;5;ESCUELA PABLO NERUDA;7;DEL MAULE;73;CURICÓ;7301;CURICÓ;71;Curico;2;1;2;2;5;5;299;250;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
14865;2;COLEGIO TECNICO ALIANZA EDUCACIONAL;5;DE VALPARAÍSO;58;MARGA MARG;5802;LIMACHE;51;Quillota - Petorca;3;2;1;1;15;15;234;219;-28;-21;-25;-24;-1;-1;-1;-1;;;;;73.3;6.7;20;80;6.7;13.3;0;v12025;20260427;4b;2025
4955;7;ESCUELA BASICA KONRAD ADENAUER;8;DEL BIOBÍO;81;CONCEPCIÓN;8106;LOTA;83;Concepcion;6;4;2;1;7;7;264;262;8;28;-3;10;0;1;0;0;;;;;;;;;;;0;v12025;20260427;4b;2025
3458;4;ESCUELA MARIA IGNACIA MENA MONROY;7;DEL MAULE;74;LINARES;7405;RETIRO;73;Linares;2;1;1;2;5;5;259;239;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
1712;4;ESCUELA VILLA MONTE;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;6;4;2;1;17;16;256;253;-6;10;-11;1;0;0;0;0;;;;;35.3;29.4;35.3;50;25;25;0;v12025;20260427;4b;2025
13637;9;COLEGIO HELLEN KELLER PEÑUELAS;4;DE COQUIMBO;41;ELQUI;4102;COQUIMBO;41;Elqui;3;2;4;1;30;30;237;244;-22;4;-47;-26;-1;0;-1;-1;;;;;56.7;13.3;30;43.3;40;16.7;0;v12025;20260427;4b;2025
25539;4;EJERCITO LIBERTADOR DE CERRILLOS;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13102;CERRILLOS;134;Poniente;6;4;1;1;33;34;248;214;14;3;-11;-29;0;0;-1;-1;;;;;60.6;12.1;27.3;64.7;29.4;5.9;0;v12025;20260427;4b;2025
4268;4;ESCUELA PARTICULAR ADVENTISTA;8;DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;82;Bio Bio;3;2;3;1;39;39;285;268;-9;-4;9;8;0;0;1;1;;;;;17.9;23.1;59;35.9;33.3;30.8;0;v12025;20260427;4b;2025
4809;7;ESCUELA EDUARDO CAMBELL SAAVEDRA;8;DEL BIOBÍO;81;CONCEPCIÓN;8107;PENCO;83;Concepcion;2;1;1;1;11;11;212;202;-43;-23;-47;-41;-1;0;-1;-1;;;;;72.7;18.2;9.1;90.9;0;9.1;0;v12025;20260427;4b;2025
3063;5;ESCUELA CORRALONES;7;DEL MAULE;71;TALCA;7109;SAN CLEMENTE;72;Talca;2;1;2;2;11;12;260;265;-2;13;-7;13;0;0;0;1;;;;;27.3;45.5;27.3;16.7;58.3;25;0;v12025;20260427;4b;2025
1735;3;LICEO PARROQUIAL SAN ANTONIO;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;3;2;4;1;117;115;287;259;15;1;3;-11;1;0;0;-1;;;;;19.7;27.4;53;43.5;37.4;19.1;0;v12025;20260427;4b;2025
3481;9;ESCUELA MANUEL DE SALAS;7;DEL MAULE;74;LINARES;7406;SAN JAVIER;73;Linares;2;1;1;1;19;18;266;270;3;26;7;27;0;1;0;1;;;;;31.6;36.8;31.6;33.3;38.9;27.8;0;v12025;20260427;4b;2025
2940;8;LICEO CARLOS CONDELL;7;DEL MAULE;71;TALCA;7101;TALCA;72;Talca;2;1;3;1;16;17;259;256;-4;20;-17;-4;0;1;-1;0;;;;;37.5;31.3;31.3;47.1;35.3;17.6;0;v12025;20260427;4b;2025
2817;7;ESCUELA SAN CRISTOBAL;7;DEL MAULE;73;CURICÓ;7308;TENO;71;Curico;2;1;3;2;28;25;268;263;-30;-34;-8;3;-1;-1;0;0;;;;;28.6;21.4;50;28;48;24;0;v12025;20260427;4b;2025
1002;2;ESCUELA PARTICULAR EL SOCAVON;4;DE COQUIMBO;42;CHOAPA;4201;ILLAPEL;43;Choapa;3;2;3;2;1;1;;;;;;;;;;;1;1;1;1;;;;;;;0;v12025;20260427;4b;2025
25393;6;COLEGIO QUINTO CENTENARIO CORDILLERA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13110;LA FLORIDA;136;Cordillera;3;2;4;1;28;28;290;271;2;7;6;1;0;0;0;0;;;;;10.7;46.4;42.9;25;53.6;21.4;0;v12025;20260427;4b;2025
10156;7;ESCUELA JARDIN LO PRADO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13117;LO PRADO;134;Poniente;3;2;3;1;38;37;256;247;-15;-7;-20;-13;-1;0;-1;-1;;;;;42.1;34.2;23.7;45.9;45.9;8.1;0;v12025;20260427;4b;2025
7749;6;COLEGIO PORTAL DEL SUR;10;DE LOS LAGOS;101;LLANQUIHUE;10101;PUERTO MONTT;101;Llanquihue;3;2;4;2;16;15;269;232;15;-27;-15;-38;0;-1;-1;-1;;;;;25;31.3;43.8;53.3;46.7;0;0;v12025;20260427;4b;2025
20235;5;GEORGE CHAYTOR ENGLISH COLLEGE;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;4;3;5;1;62;63;295;294;-20;-11;-7;2;-1;-1;-1;0;;;;;12.9;25.8;61.3;9.5;47.6;42.9;0;v12025;20260427;4b;2025
8828;5;LICEO BICENTENARIO SIMON BOLIVAR;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13114;LAS CONDES;133;Oriente;1;1;4;1;79;79;318;303;17;-1;34;33;1;0;1;1;;;;;5.1;16.5;78.5;6.3;38;55.7;0;v12025;20260427;4b;2025
1251;3;ESCUELA BASICA CRISTO REDENTOR;5;DE VALPARAÍSO;53;LOS ANDES;5302;CALLE LARGA;52;San Felipe - Los Andes;2;1;3;2;18;18;289;250;44;26;13;-10;1;1;1;-1;;;;;22.2;16.7;61.1;50;38.9;11.1;0;v12025;20260427;4b;2025
25808;3;ESC. BAS. PART. LAS NACIONES;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13119;MAIPÚ;134;Poniente;3;2;2;1;12;13;227;215;-8;-5;-40;-37;0;0;-1;-1;;;;;75;16.7;8.3;76.9;15.4;7.7;0;v12025;20260427;4b;2025
4168;8;ESCUELA GENERAL BERNARDO O HIGGINS;8;DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;82;Bio Bio;2;1;2;1;9;9;275;241;14;-50;8;-11;0;-1;0;0;;;;;;;;;;;0;v12025;20260427;4b;2025
8390;9;ESCUELA HAMBURGO;11;DE AYSÉN DEL GENERAL CARL;112;AYSÉN;11202;CISNES;111;Coyhaique;6;4;2;2;3;3;297;301;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
564;9;COLEGIO LA ESTRELLA;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;6;4;;2;0;0;;;;;;;;;;;;;;;;;;;;;1;v12025;20260427;4b;2025
361;1;COL. THE ANTOFAGASTA BRITISH SCHOOL;2;DE ANTOFAGASTA;21;ANTOFAGAST;2101;ANTOFAGASTA;21;Antofagasta;4;3;5;1;50;52;307;291;-1;-7;5;-1;0;0;0;0;;;;;4;18;78;13.5;34.6;51.9;0;v12025;20260427;4b;2025
7062;9;ESCUELA RURAL PULLINQUE;14;DE LOS RÍOS;141;VALDIVIA;14108;PANGUIPULLI;141;Valdivia;6;4;2;2;12;11;272;253;24;10;5;1;1;0;0;0;;;;;33.3;33.3;33.3;54.5;27.3;18.2;0;v12025;20260427;4b;2025
22499;5;INSTITUTO INGLES ANTUQUENU;10;DE LOS LAGOS;101;LLANQUIHUE;10101;PUERTO MONTT;101;Llanquihue;3;2;2;1;63;63;265;246;-2;-3;-2;-6;0;0;0;-1;;;;;31.7;28.6;39.7;49.2;33.3;17.5;0;v12025;20260427;4b;2025
4855;0;ESCUELA BASICA MILLAHUE;8;DEL BIOBÍO;81;CONCEPCIÓN;8111;TOMÉ;83;Concepcion;2;1;2;2;5;5;232;241;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
1689;6;ESCUELA ORO NEGRO;5;DE VALPARAÍSO;51;VALPARAÍSO;5103;CONCÓN;53;Valparaiso - Isla de Pascua;6;4;3;1;47;47;234;216;-19;-27;-42;-44;-1;-1;-1;-1;;;;;59.6;17;23.4;72.3;23.4;4.3;0;v12025;20260427;4b;2025
4560;8;LICEO CHIGUAYANTE;8;DEL BIOBÍO;81;CONCEPCIÓN;8103;CHIGUAYANTE;83;Concepcion;6;4;2;1;9;9;282;240;57;-8;15;-12;1;0;1;0;;;;;;;;;;;0;v12025;20260427;4b;2025
14673;0;COLEGIO NUEVA ERA SIGLO XXI QUILLOTA;5;DE VALPARAÍSO;55;QUILLOTA;5501;QUILLOTA;51;Quillota - Petorca;3;2;3;1;33;36;290;263;21;15;14;3;1;1;1;0;;;;;15.2;21.2;63.6;33.3;44.4;22.2;0;v12025;20260427;4b;2025
6183;2;ESCUELA ALLIPEN;9;DE LA ARAUCANÍA;91;CAUTÍN;9105;FREIRE;93;Cautin Sur;2;1;2;2;8;8;252;236;-17;-24;-15;-16;0;-1;0;-1;;;;;;;;;;;0;v12025;20260427;4b;2025
11035;3;COLEGIO AMBROSIO O HIGGINS;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;32;Huasco - Vallenar;4;3;5;1;33;34;324;276;21;-12;22;-16;1;0;1;-1;;;;;6.1;9.1;84.8;20.6;52.9;26.5;0;v12025;20260427;4b;2025
10202;4;ESCUELA DOMINGO SANTA MARIA GONZALEZ;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13128;RENCA;134;Poniente;1;1;2;1;51;47;246;227;16;1;-21;-25;1;0;-1;-1;;;;;43.1;25.5;31.4;68.1;23.4;8.5;0;v12025;20260427;4b;2025
16608;1;COLEGIO ANTILHUE;7;DEL MAULE;73;CURICÓ;7304;MOLINA;71;Curico;3;2;2;1;33;33;267;241;14;-10;0;-11;0;0;0;-1;;;;;33.3;12.1;54.5;54.5;36.4;9.1;0;v12025;20260427;4b;2025
10348;9;ESCUELA BASICA PART.MARY ANNE SCHOOL;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13104;CONCHALÍ;137;Norte;3;2;4;1;55;58;295;282;18;16;11;12;1;1;1;1;;;;;12.7;25.5;61.8;12.1;53.4;34.5;0;v12025;20260427;4b;2025
315;8;ESCUELA HEROES DE LA CONCEPCION;2;DE ANTOFAGASTA;21;ANTOFAGAST;2101;ANTOFAGASTA;21;Antofagasta;1;1;2;1;59;59;247;225;-30;-43;-20;-27;-1;-1;-1;-1;;;;;50.8;27.1;22;72.9;22;5.1;0;v12025;20260427;4b;2025
7016;5;ESCUELA BASICA DE CORRAL;14;DE LOS RÍOS;141;VALDIVIA;14102;CORRAL;141;Valdivia;6;4;3;1;18;18;255;236;6;1;-21;-24;0;0;-1;-1;;;;;16.7;55.6;27.8;66.7;16.7;16.7;0;v12025;20260427;4b;2025
11971;7;COLEGIO SANTO DOMINGO_PADRES DOMINICOS;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13113;LA REINA;133;Oriente;4;3;5;1;25;25;310;307;-4;12;8;15;0;0;0;1;;;;;8;20;72;0;28;72;0;v12025;20260427;4b;2025
418;9;ESCUELA ISABEL PEÑA MORALES;3;DE ATACAMA;31;COPIAPÓ;3101;COPIAPÓ;31;Copiapo - Chanaral;6;4;3;1;73;74;286;265;-2;-12;10;5;0;-1;1;1;;;;;15.1;30.1;54.8;23;59.5;17.6;0;v12025;20260427;4b;2025
6916;7;ESCUELA ALBERTO CORDOVA LATORRE;14;DE LOS RÍOS;141;VALDIVIA;14103;LANCO;141;Valdivia;6;4;3;1;22;23;268;254;17;14;-8;-6;0;0;0;0;;;;;40.9;18.2;40.9;43.5;30.4;26.1;0;v12025;20260427;4b;2025
9910;4;COLEGIO PARTICULAR SAN FELIX;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13119;MAIPÚ;134;Poniente;3;2;3;1;18;20;275;256;-3;-2;-1;-4;0;0;0;0;;;;;27.8;16.7;55.6;50;20;30;0;v12025;20260427;4b;2025
17736;9;COLEGIO SAN IGNACIO;8;DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;82;Bio Bio;3;2;3;1;45;46;276;247;-7;-47;0;-13;0;-1;0;-1;;;;;22.2;37.8;40;56.5;32.6;10.9;0;v12025;20260427;4b;2025
6667;2;ESCUELA PARTICULAR RULO;9;DE LA ARAUCANÍA;91;CAUTÍN;9111;NUEVA IMPERIAL;92;Cautin Norte;3;2;2;2;11;11;235;261;12;38;-32;9;0;1;-1;0;;;;;54.5;27.3;18.2;54.5;18.2;27.3;0;v12025;20260427;4b;2025
10302;0;ESCUELA ANNE ELEONOR ROOSEVELT;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13127;RECOLETA;137;Norte;2;1;1;1;17;17;225;253;-41;4;-34;10;-1;0;-1;1;;;;;64.7;17.6;17.6;47.1;35.3;17.6;0;v12025;20260427;4b;2025
6767;9;ESCUELA LEONARDO DA VINCI;14;DE LOS RÍOS;141;VALDIVIA;14101;VALDIVIA;141;Valdivia;6;4;2;1;24;23;272;240;-10;-24;5;-12;0;-1;0;-1;;;;;25;25;50;60.9;30.4;8.7;0;v12025;20260427;4b;2025
8931;1;ESCUELA BASICA EL VERGEL;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13123;PROVIDENCIA;133;Oriente;1;1;4;1;39;39;289;266;-24;-10;5;-4;-1;0;0;0;;;;;17.9;25.6;56.4;38.5;28.2;33.3;0;v12025;20260427;4b;2025
8974;5;COLEGIO CAMPVS COLLEGE;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13123;PROVIDENCIA;133;Oriente;4;3;5;1;44;43;296;282;-11;-14;-6;-10;0;-1;0;-1;;;;;13.6;27.3;59.1;14;48.8;37.2;0;v12025;20260427;4b;2025
