rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
5791;6;ESCUELA PARTICULAR WITRAMALAL;9;DE LA ARAUCANÍA;91;CAUTÍN;9112;PADRE LAS CASAS;93;Cautin Sur;3;2;1;2;6;6;238;217;-18;-37;-21;-26;0;-1;-1;-1;;;;;;;;;;;0;v12025;20260427;4b;2025
5645;6;ESCUELA BOYECO;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;2;1;2;2;30;30;277;257;-11;-14;10;5;0;-1;1;0;;;;;16.7;36.7;46.7;40;43.3;16.7;0;v12025;20260427;4b;2025
5104;7;COLEGIO ALONSO DE ERCILLA;8;DEL BIOBÍO;82;ARAUCO;8205;CURANILAHUE;84;Arauco;3;2;3;1;50;52;277;276;5;-11;1;16;0;0;0;1;;;;;28;24;48;26.9;36.5;36.5;0;v12025;20260427;4b;2025
1686;1;ESCUELA TEODORO LOWEY;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;6;4;3;1;34;36;288;269;12;-4;12;9;0;0;1;1;;;;;26.5;20.6;52.9;27.8;47.2;25;0;v12025;20260427;4b;2025
2227;6;ESC. SAN FRANCISCO DE ASIS;6;DEL LIBERTADOR BERNARDO O;61;CACHAPOAL;6110;MOSTAZAL;61;Cachapoal;2;1;2;2;22;20;262;257;-15;9;-5;5;0;0;0;0;;;;;40.9;27.3;31.8;40;30;30;0;v12025;20260427;4b;2025
13156;3;COLEGIO HÉROES DE ATACAMA;3;DE ATACAMA;31;COPIAPÓ;3101;COPIAPÓ;31;Copiapo - Chanaral;3;2;3;1;63;69;259;241;-7;-15;-17;-19;0;-1;-1;-1;;;;;39.7;22.2;38.1;52.2;37.7;10.1;0;v12025;20260427;4b;2025
25310;3;COLEGIO SAN NICOLÁS DIÁCONO;13;METROPOLITANA DE SANTIAGO;133;CHACABUCO;13301;COLINA;137;Norte;4;3;5;1;48;51;291;292;6;19;-11;0;0;1;-1;0;;;;;18.8;18.8;62.5;13.7;27.5;58.8;0;v12025;20260427;4b;2025
24314;0;COLEGIO CRUZ DEL SUR;12;DE MAGALLANES Y DE LA ANT;121;MAGALLANES;12101;PUNTA ARENAS;121;Magallanes;4;3;5;1;52;52;309;302;-4;2;7;10;0;0;1;1;;;;;5.8;13.5;80.8;3.8;34.6;61.5;0;v12025;20260427;4b;2025
24231;4;COLEGIO DIEGO PORTALES;11;DE AYSÉN DEL GENERAL CARL;111;COYHAIQUE;11101;COYHAIQUE;111;Coyhaique;3;2;3;1;24;25;256;236;-1;-11;-20;-24;0;0;-1;-1;;;;;45.8;16.7;37.5;56;40;4;0;v12025;20260427;4b;2025
12824;4;COL  SUNFLOWER SCHOOL;2;DE ANTOFAGASTA;21;ANTOFAGAST;2101;ANTOFAGASTA;21;Antofagasta;4;3;4;1;8;8;252;233;;;-32;-37;;;-1;-1;;;2;2;;;;;;;0;v12025;20260427;4b;2025
753;6;ESC.BAS.JUAN PABLO ARTIGUES PENAFIEL;4;DE COQUIMBO;43;LIMARÍ;4301;OVALLE;42;Limari;2;1;1;2;11;11;273;262;0;-19;14;19;0;-1;1;1;;;;;27.3;36.4;36.4;36.4;45.5;18.2;0;v12025;20260427;4b;2025
4998;0;ESCUELA ROSA YANEZ RODRIGUEZ;8;DEL BIOBÍO;81;CONCEPCIÓN;8102;CORONEL;83;Concepcion;6;4;2;1;14;14;296;283;7;19;29;31;0;1;1;1;;;;;7.1;28.6;64.3;7.1;57.1;35.7;0;v12025;20260427;4b;2025
9907;4;COLEGIO POLIVALENTE CAMILO HENRIQUEZ;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13119;MAIPÚ;134;Poniente;3;2;4;1;83;83;317;297;-17;-19;33;27;-1;-1;1;1;;;;;2.4;18.1;79.5;4.8;42.2;53;0;v12025;20260427;4b;2025
18065;3;ESCUELA NUEVA REPUBLICA;8;DEL BIOBÍO;81;CONCEPCIÓN;8105;HUALQUI;83;Concepcion;6;4;2;1;25;25;243;234;-45;-38;-24;-18;-1;-1;-1;-1;;;;;52;20;28;60;32;8;0;v12025;20260427;4b;2025
1749;3;COLEGIO EXCMO. CARDENAL RAUL SILVA HENR;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;3;2;3;1;27;28;257;246;-3;-5;-19;-14;0;0;-1;-1;;;;;37;29.6;33.3;50;39.3;10.7;0;v12025;20260427;4b;2025
6077;1;ESCUELA PARTICULAR QUETROLELFU;9;DE LA ARAUCANÍA;91;CAUTÍN;9115;PUCÓN;93;Cautin Sur;3;2;3;2;4;4;275;249;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
7998;7;ESCUELA PARTICULAR N.247 EL RETAMO;10;DE LOS LAGOS;101;LLANQUIHUE;10105;FRUTILLAR;101;Llanquihue;3;2;1;2;4;4;210;200;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
22310;7;ESCUELA RURAL YERBAS BUENAS;10;DE LOS LAGOS;101;LLANQUIHUE;10106;LOS MUERMOS;101;Llanquihue;6;4;1;2;1;1;;;;;;;;;;;1;1;2;2;;;;;;;0;v12025;20260427;4b;2025
